"recovery","recovery_sd","recovery_q05","recovery_q95","size","size_sd","method","n","e","pi"
0.126,0.14676305,0,0.4,1,0.8287754,1,500,-0.34,0.7
0.066,0.12730303,0,0.21,0.58,0.7808309,2,500,-0.34,0.7
0.87,0.17144661,0.4,1,4.36,0.8589399,3,500,-0.34,0.7
0.178,0.16549894,0,0.4,1.22,0.9165151,1,500,-0.32,0.7
0.128,0.15181062,0,0.4,0.85,0.857233,2,500,-0.32,0.7
0.944,0.09880089,0.8,1,4.73,0.5096047,3,500,-0.32,0.7
0.296,0.19995959,0,0.6,1.73,1.0430627,1,500,-0.3,0.7
0.236,0.1806386,0,0.6,1.36,0.9376523,2,500,-0.3,0.7
0.982,0.06416519,0.8,1,4.91,0.320826,3,500,-0.3,0.7
0.418,0.17774116,0.2,0.6,2.33,0.9433981,1,500,-0.28,0.7
0.382,0.18,0,0.6,2.07,0.9455371,2,500,-0.28,0.7
0.996,0.02814106,1,1,4.98,0.1407053,3,500,-0.28,0.7
0.578,0.15280542,0.4,0.8,3.1,0.8703883,1,500,-0.26,0.7
0.546,0.19038504,0.2,0.8,2.88,1.0276972,2,500,-0.26,0.7
1,0,1,1,5,0,3,500,-0.26,0.7
0.732,0.18028037,0.4,1,3.82,1.0088497,1,500,-0.24,0.7
0.742,0.18487233,0.4,1,3.81,1.0019678,2,500,-0.24,0.7
1,0,1,1,5,0,3,500,-0.24,0.7
0.846,0.18169794,0.4,1,4.36,1.000202,1,500,-0.22,0.7
0.896,0.15170412,0.6,1,4.53,0.797154,2,500,-0.22,0.7
1,0,1,1,5,0,3,500,-0.22,0.7
0.938,0.13240587,0.6,1,4.79,0.728843,1,500,-0.2,0.7
0.972,0.08050347,0.8,1,4.91,0.4515965,2,500,-0.2,0.7
1,0,1,1,5,0,3,500,-0.2,0.7
