"recovery","recovery_sd","recovery_q05","recovery_q95","size","size_sd","method","n","e","pi"
0.03,0.07719842,0,0.2,0.28,0.6208499,2,400,-0.34,0.3
0.848,0.14247452,0.6,1,4.25,0.7159792,3,400,-0.34,0.3
0.16,0.17523433,0,0.6,1.33,1.0922593,1,400,-0.32,0.3
0.056,0.11038958,0,0.21,0.39,0.6800921,2,400,-0.32,0.3
0.914,0.11808232,0.8,1,4.58,0.5891271,3,400,-0.32,0.3
0.252,0.19409463,0,0.6,1.73,1.1357817,1,400,-0.3,0.3
0.116,0.14264457,0,0.4,0.69,0.7874649,2,400,-0.3,0.3
0.954,0.08923921,0.8,1,4.78,0.4623174,3,400,-0.3,0.3
0.368,0.19009833,0,0.6,2.26,1.088229,1,400,-0.28,0.3
0.22,0.19796949,0,0.6,1.21,1.0278447,2,400,-0.28,0.3
0.994,0.03428932,1,1,4.98,0.2,3,400,-0.28,0.3
0.528,0.16941969,0.2,0.8,3.01,0.9480975,1,400,-0.26,0.3
0.384,0.20827332,0,0.8,2.01,1.0683226,2,400,-0.26,0.3
0.998,0.02,1,1,5,0.1421338,3,400,-0.26,0.3
0.674,0.18782111,0.4,1,3.66,0.9557904,1,400,-0.24,0.3
0.562,0.21214632,0.2,0.81,2.89,1.0720979,2,400,-0.24,0.3
1,0,1,1,5.01,0.1,3,400,-0.24,0.3
0.79,0.19771421,0.4,1,4.2,0.9744203,1,400,-0.22,0.3
0.778,0.18399605,0.4,1,3.96,0.9419516,2,400,-0.22,0.3
1,0,1,1,5.01,0.1,3,400,-0.22,0.3
0.892,0.16677572,0.6,1,4.64,0.8706204,1,400,-0.2,0.3
0.908,0.13156402,0.6,1,4.59,0.6681045,2,400,-0.2,0.3
1,0,1,1,5.01,0.1,3,400,-0.2,0.3
0.03,0.0915633,0,0.2,0.59,0.7533762,1,500,-0.4,0.3
0.008,0.03938928,0,0,0.31,0.4648232,2,500,-0.4,0.3
0.558,0.21704163,0.2,0.81,2.8,1.1009638,3,500,-0.4,0.3
0.046,0.10956295,0,0.2,0.64,0.745627,1,500,-0.38,0.3
0.012,0.04773665,0,0.2,0.32,0.4688262,2,500,-0.38,0.3
0.674,0.18996012,0.4,1,3.38,0.9616904,3,500,-0.38,0.3
0.08,0.13333333,0,0.4,0.78,0.7464394,1,500,-0.36,0.3
0.024,0.0766996,0,0.2,0.37,0.5623723,2,500,-0.36,0.3
0.788,0.16531574,0.59,1,3.95,0.8333333,3,500,-0.36,0.3
0.128,0.15704339,0,0.4,1,0.840875,1,500,-0.34,0.3
0.066,0.11390232,0,0.21,0.58,0.6989169,2,500,-0.34,0.3
0.892,0.13756908,0.6,1,4.47,0.7028801,3,500,-0.34,0.3
0.204,0.17518821,0,0.6,1.3,0.9374369,1,500,-0.32,0.3
0.136,0.15796688,0,0.4,0.89,0.8633386,2,500,-0.32,0.3
0.948,0.0926381,0.8,1,4.75,0.4793725,3,500,-0.32,0.3
0.33,0.17837652,0,0.6,1.89,0.9628976,1,500,-0.3,0.3
0.248,0.18005611,0,0.6,1.42,0.9553676,2,500,-0.3,0.3
0.98,0.06030227,0.8,1,4.91,0.320826,3,500,-0.3,0.3
0.452,0.19616526,0.2,0.8,2.48,0.999798,1,500,-0.28,0.3
0.412,0.20659823,0,0.8,2.19,1.0702119,2,500,-0.28,0.3
0.996,0.02814106,1,1,4.99,0.1737873,3,500,-0.28,0.3
0.608,0.20084669,0.2,0.81,3.23,1.0333333,1,500,-0.26,0.3
0.602,0.1999899,0.2,0.81,3.12,1.0757192,2,500,-0.26,0.3
1,0,1,1,5,0,3,500,-0.26,0.3
0.74,0.18748737,0.4,1,3.86,1.0251386,1,500,-0.24,0.3
0.788,0.17938165,0.4,1,4.01,0.9586923,2,500,-0.24,0.3
1,0,1,1,5,0,3,500,-0.24,0.3
0.882,0.15333333,0.6,1,4.55,0.8804843,1,500,-0.22,0.3
0.904,0.14349181,0.6,1,4.58,0.754515,2,500,-0.22,0.3
1,0,1,1,5,0,3,500,-0.22,0.3
0.954,0.10956295,0.8,1,4.87,0.6459665,1,500,-0.2,0.3
0.972,0.07531751,0.8,1,4.91,0.4515965,2,500,-0.2,0.3
1,0,1,1,5,0,3,500,-0.2,0.3
0.012,0.04773665,0,0.2,0.34,0.5167888,1,200,-0.4,0.5
0.002,0.02,0,0,0.03,0.1714466,2,200,-0.4,0.5
0.39,0.19565998,0.2,0.8,1.96,0.9735907,3,200,-0.4,0.5
0.024,0.06531973,0,0.2,0.38,0.564613,1,200,-0.38,0.5
0.002,0.02,0,0,0.03,0.1714466,2,200,-0.38,0.5
0.506,0.2097714,0.2,0.8,2.55,1.0480863,3,200,-0.38,0.5
0.05,0.0958745,0,0.2,0.5,0.6590474,1,200,-0.36,0.5
0.006,0.03428932,0,0,0.05,0.2611165,2,200,-0.36,0.5
0.636,0.1893743,0.39,1,3.2,0.9534626,3,200,-0.36,0.5
0.08,0.13026779,0,0.4,0.64,0.8105367,1,200,-0.34,0.5
0.018,0.06416519,0,0.2,0.11,0.3732197,2,200,-0.34,0.5
0.758,0.17360119,0.6,1,3.81,0.8841477,3,200,-0.34,0.5
0.134,0.1658891,0,0.4,0.91,0.9649933,1,200,-0.32,0.5
0.038,0.10128468,0,0.2,0.21,0.5558686,2,200,-0.32,0.5
0.842,0.14296994,0.6,1,4.23,0.7227193,3,200,-0.32,0.5
0.218,0.17313508,0,0.6,1.31,0.9607972,1,200,-0.3,0.5
0.06,0.11891768,0,0.21,0.32,0.6337319,2,200,-0.3,0.5
0.908,0.11162708,0.8,1,4.56,0.5915226,3,200,-0.3,0.5
0.304,0.18086213,0,0.6,1.74,0.9704732,1,200,-0.28,0.5
0.088,0.14018746,0,0.4,0.46,0.7305733,2,200,-0.28,0.5
0.95,0.0915633,0.8,1,4.76,0.4739688,3,200,-0.28,0.5
0.402,0.1874766,0.2,0.6,2.21,0.9979271,1,200,-0.26,0.5
0.178,0.18617902,0,0.6,0.9,0.9481508,2,200,-0.26,0.5
0.98,0.06030227,0.8,1,4.91,0.320826,3,200,-0.26,0.5
0.542,0.17125797,0.2,0.8,2.88,0.890806,1,200,-0.24,0.5
0.29,0.19565998,0,0.6,1.46,0.9890307,2,200,-0.24,0.5
0.986,0.05128648,0.8,1,4.94,0.277798,3,200,-0.24,0.5
0.678,0.18617902,0.4,1,3.54,0.9472981,1,200,-0.22,0.5
0.46,0.19174899,0.2,0.8,2.3,0.958745,2,200,-0.22,0.5
0.99,0.04380858,0.99,1,4.96,0.2428784,3,200,-0.22,0.5
0.81,0.17144661,0.59,1,4.17,0.8415354,1,200,-0.2,0.5
0.634,0.21283085,0.39,1,3.17,1.0641542,2,200,-0.2,0.5
0.998,0.02,1,1,5,0.1421338,3,200,-0.2,0.5
0.05,0.10396192,0,0.2,0.59,0.712018,1,300,-0.4,0.5
0.01,0.04380858,0,0.01,0.27,0.4682872,2,300,-0.4,0.5
0.568,0.22868972,0.2,1,2.86,1.1548755,3,300,-0.4,0.5
0.082,0.13953748,0,0.4,0.75,0.8211227,1,300,-0.38,0.5
0.02,0.06030227,0,0.2,0.31,0.4860685,2,300,-0.38,0.5
0.69,0.22450844,0.4,1,3.47,1.1232618,3,300,-0.38,0.5
0.124,0.15512784,0,0.4,0.92,0.8724747,1,300,-0.36,0.5
0.034,0.08067894,0,0.2,0.37,0.5252224,2,300,-0.36,0.5
0.794,0.19787763,0.4,1,3.98,0.9947336,3,300,-0.36,0.5
0.174,0.17443705,0,0.41,1.15,0.936089,1,300,-0.34,0.5
0.06,0.10444659,0,0.2,0.49,0.5945034,2,300,-0.34,0.5
0.874,0.15739033,0.6,1,4.38,0.8012616,3,300,-0.34,0.5
0.26,0.18963016,0,0.6,1.55,0.9987366,1,300,-0.32,0.5
0.11,0.13743685,0,0.4,0.74,0.7603827,2,300,-0.32,0.5
0.94,0.11191627,0.79,1,4.7,0.5595814,3,300,-0.32,0.5
0.362,0.18574448,0,0.6,2.06,0.9828838,1,300,-0.3,0.5
0.208,0.17504978,0,0.4,1.22,0.9490027,2,300,-0.3,0.5
0.968,0.07369059,0.8,1,4.84,0.3684529,3,300,-0.3,0.5
0.498,0.1874766,0.2,0.8,2.71,1.0179699,1,300,-0.28,0.5
0.328,0.18317073,0,0.6,1.81,0.9815984,2,300,-0.28,0.5
0.99,0.04380858,0.99,1,4.96,0.2428784,3,300,-0.28,0.5
